,full_name,rating,jersey,team,position,b_day,height_inInches,height_inMeters,weight_inlbs,weight_inkg,salary,country,draft_year,draft_round,draft_peak,college
404,Yante Maten,70,0,Washington Wizards,F-C,08/14/96,6.67,2.03,240,108.9,100000,USA,2018,2,52,Georgia
405,Thanasis Antetokounmpo,70,43,Milwaukee Bucks,F,07/18/92,6.5,1.98,215,97.5,1445697,Greece,2014,2,51,Long Beach State
406,Naz Reid,70,11,Minnesota Timberwolves,C,08/26/99,6.75,2.06,249,112.9,898310,USA,2019,2,4,LSU
407,Ignas Brazdeikis,70,17,New York Knicks,F,01/08/99,6.5,1.98,216,98.0,898310,Canada,2019,2,47,Michigan
408,Deonte Burton,70,30,Oklahoma City Thunder,G,06/26/91,6.33,1.93,240,108.9,1416852,USA,2014,2,13,Iowa State
409,Justin James,70,10,Sacramento Kings,G,01/24/97,6.58,2.01,190,86.2,898310,USA,2019,2,40,Wyoming
410,Henry Ellenson,69,0,Washington Wizards,F-C,01/13/97,6.08,2.08,242,109.8,79568,USA,2016,1,18,Marquette
411,Devonte Graham,69,0,Charlotte Hornets,G,02/22/95,6.08,1.85,185,83.9,1416852,USA,2018,2,34,Kansas
412,Amile Jefferson,69,0,Washington Wizards,F-C,05/07/93,6.75,2.06,224,101.6,1529007,USA,2017,2,23,Duke
413,Khyri Thomas,69,13,Detroit Pistons,G,05/08/96,6.25,1.91,210,95.3,1416852,USA,2018,2,38,Creighton
414,Theo Pinson,69,0,New York Knicks,G,11/05/95,6.42,1.96,220,99.8,1445697,USA,2018,2,52,North Carolina
415,Gary Clark,69,0,Orlando Magic,F,11/16/94,6.5,1.98,225,102.1,1427191,USA,2018,2,38,Cincinnati
416,Terance Mann,69,14,Los Angeles Clippers,G,10/18/96,6.42,1.96,215,97.5,1000000,USA,2019,2,48,Florida State
417,Cam Reynolds,69,13,Milwaukee Bucks,G,02/07/95,6.58,2.01,225,102.1,79568,USA,2018,1,31,Tulane
418,Tyrone Wallace,69,0,Charlotte Hornets,G-F,06/10/94,6.42,1.96,200,90.7,502491,USA,2016,2,60,California
419,Miye Oni,69,24,Utah Jazz,F,08/04/97,6.42,1.96,210,95.3,898310,USA,2019,2,58,Yale
420,Malcolm Miller,69,13,Toronto Raptors,F,03/06/93,6.58,2.01,205,93.0,1588231,USA,2015,2,29,Holy Cross
421,Isaac Bonga,68,17,Washington Wizards,G,11/08/99,6.67,2.03,200,90.7,1416852,Germany,2018,2,39,Saint Mary's
422,Isaiah Hartenstein,68,0,Charlotte Hornets,F-C,05/05/98,7.0,2.13,250,113.4,1416852,Germany,2017,2,43,Alabama
423,Jordan McRae,68,0,Detroit Pistons,G,03/28/91,6.42,1.96,179,81.2,1254933,USA,2014,2,58,Tennessee
424,Brandon Goodwin,68,0,Atlanta Hawks,G,10/02/95,6.0,1.83,180,81.6,522738,USA,2018,2,38,Florida Gulf Coast
425,Michael Frazier,68,21,Houston Rockets,G,03/08/94,6.25,1.91,200,90.7,79568,USA,2015,2,60,Florida
426,Kostas Antetokounmpo,68,37,Los Angeles Lakers,F,11/20/97,6.08,2.08,200,90.7,79568,Greece,2018,1,54,Dayton
427,Jalen Lecque,68,0,Phoenix Suns,G,06/13/00,6.25,1.91,190,86.2,898310,USA,2019,1,46,St. John's
428,Duncan Robinson,67,55,Miami Heat,F,04/22/94,6.58,2.01,215,97.5,1416852,USA,2018,2,44,Michigan
